,2
23,"('phasic-EDA', 'first_derivative_std_feat')"
15,"('phasic-EDA', 'min_feat')"
0,"('mixed-EDA', 'min_feat')"
8,"('mixed-EDA', 'first_derivative_std_feat')"
17,"('phasic-EDA', 'mean_feat')"
41,"('tonic-EDA', 'dc_term')"
1,"('mixed-EDA', 'max_feat')"
7,"('mixed-EDA', 'first_derivetive_mean_feat')"
27,"('phasic-EDA', 'sum_of_all_coefficients')"
44,"('tonic-EDA', 'spectral_energy')"
34,"('tonic-EDA', 'dynamic_range_feat')"
42,"('tonic-EDA', 'sum_of_all_coefficients')"
37,"('tonic-EDA', 'first_derivetive_mean_feat')"
38,"('tonic-EDA', 'first_derivative_std_feat')"
35,"('tonic-EDA', 'slope_feat')"
19,"('phasic-EDA', 'dynamic_range_feat')"
36,"('tonic-EDA', 'absolute_slope_feat')"
28,"('phasic-EDA', 'information_entropy')"
3,"('mixed-EDA', 'std_feat')"
6,"('mixed-EDA', 'absolute_slope_feat')"
40,"('tonic-EDA', 'peaks_amplitude_feat')"
2,"('mixed-EDA', 'mean_feat')"
18,"('phasic-EDA', 'std_feat')"
5,"('mixed-EDA', 'slope_feat')"
20,"('phasic-EDA', 'slope_feat')"
12,"('mixed-EDA', 'sum_of_all_coefficients')"
43,"('tonic-EDA', 'information_entropy')"
33,"('tonic-EDA', 'std_feat')"
14,"('mixed-EDA', 'spectral_energy')"
13,"('mixed-EDA', 'information_entropy')"
4,"('mixed-EDA', 'dynamic_range_feat')"
29,"('phasic-EDA', 'spectral_energy')"
39,"('tonic-EDA', 'number_of_peaks_feat')"
24,"('phasic-EDA', 'number_of_peaks_feat')"
9,"('mixed-EDA', 'number_of_peaks_feat')"
10,"('mixed-EDA', 'peaks_amplitude_feat')"
21,"('phasic-EDA', 'absolute_slope_feat')"
22,"('phasic-EDA', 'first_derivetive_mean_feat')"
26,"('phasic-EDA', 'dc_term')"
16,"('phasic-EDA', 'max_feat')"
11,"('mixed-EDA', 'dc_term')"
25,"('phasic-EDA', 'peaks_amplitude_feat')"
30,"('tonic-EDA', 'min_feat')"
32,"('tonic-EDA', 'mean_feat')"
31,"('tonic-EDA', 'max_feat')"
